title,description,provider,skill_tags,difficulty,duration_hrs,prerequisites,resource_url
Python Basics for Data Science,"Learn core Python syntax, variables, loops and functions for data work.",Coursera,python;programming;data-science,beginner,12,,https://www.coursera.org/search?query=Python+Basics+for+Data+Science
Python Programming Fundamentals,"Hands-on intro to Python programming: control flow, functions, and files.",freeCodeCamp,python;programming,beginner,15,,https://www.freecodecamp.org/learn
Statistics Fundamentals for Data Science,"Covers probability, distributions and hypothesis testing for data science.",Coursera,statistics;probability;data-science,beginner,14,,https://www.coursera.org/search?query=Statistics+Fundamentals+for+Data+Science
NumPy and Pandas Essentials,Master array computing with NumPy and dataframes with Pandas in Python.,DataCamp,python;numpy;pandas,intermediate,16,python,https://www.google.com/search?q=NumPy+and+Pandas+Essentials+DataCamp+course
Data Wrangling with Pandas,"Clean, reshape and merge messy datasets using Pandas in Python.",Udemy,pandas;data-cleaning;python,intermediate,14,python;pandas,https://www.udemy.com/courses/search/?q=Data+Wrangling+with+Pandas
Exploratory Data Analysis with Python,"Use Python and Pandas to explore, summarize and visualize datasets.",Coursera,python;pandas;visualization,intermediate,18,python;pandas,https://www.coursera.org/search?query=Exploratory+Data+Analysis+with+Python
Data Visualization with Matplotlib and Seaborn,Build charts and statistical plots in Python with Matplotlib and Seaborn.,Udemy,visualization;python;matplotlib,intermediate,12,python,https://www.udemy.com/courses/search/?q=Data+Visualization+with+Matplotlib+and+Seaborn
Probability and Statistics for ML,Deepen probability and statistics foundations needed for machine learning.,MIT OCW,statistics;probability;machine-learning,intermediate,20,statistics,https://ocw.mit.edu/search/?q=Probability+and+Statistics+for+ML
Machine Learning Foundations,Build classification and regression models in Python with scikit-learn.,Coursera,machine-learning;python;scikit-learn,intermediate,24,python;statistics,https://www.coursera.org/search?query=Machine+Learning+Foundations
Supervised Learning Algorithms,Deep dive into regression and classification algorithms for supervised ML.,edX,machine-learning;regression;classification,intermediate,22,machine-learning,https://www.edx.org/search?q=Supervised+Learning+Algorithms
Unsupervised Learning and Clustering,Explore clustering and dimensionality reduction techniques in ML.,edX,machine-learning;clustering;unsupervised-learning,advanced,20,machine-learning,https://www.edx.org/search?q=Unsupervised+Learning+and+Clustering
Feature Engineering for Machine Learning,Techniques to transform raw data into features that improve ML models.,Udemy,feature-engineering;machine-learning;python,advanced,16,machine-learning,https://www.udemy.com/courses/search/?q=Feature+Engineering+for+Machine+Learning
Deep Learning Specialization Intro,"Foundations of neural networks, backpropagation and training deep nets.",Coursera,deep-learning;neural-networks;python,advanced,30,machine-learning;python,https://www.coursera.org/search?query=Deep+Learning+Specialization+Intro
Practical Deep Learning for Coders,Code-first deep learning course building real models with PyTorch.,fast.ai,deep-learning;pytorch;neural-networks,advanced,35,deep-learning,https://course.fast.ai/
Natural Language Processing with Python,"Build NLP pipelines for text classification, tagging and embeddings.",Coursera,nlp;deep-learning;python,advanced,28,deep-learning,https://www.coursera.org/search?query=Natural+Language+Processing+with+Python
Transformers and Large Language Models,Understand transformer architecture and fine-tune modern LLMs.,Hugging Face,nlp;transformers;deep-learning,advanced,26,nlp;deep-learning,https://huggingface.co/learn/nlp-course
Computer Vision Fundamentals,Introduction to image processing and deep learning for computer vision.,Udacity,computer-vision;deep-learning;python,advanced,24,deep-learning,https://www.udacity.com/courses/all
Convolutional Neural Networks for Vision,Design and train CNNs for image classification and detection tasks.,Coursera,computer-vision;cnn;deep-learning,advanced,26,computer-vision,https://www.coursera.org/search?query=Convolutional+Neural+Networks+for+Vision
MLOps: Deploying ML Models in Production,"Learn CI/CD, monitoring and versioning practices for ML systems.",Google,mlops;deployment;machine-learning,advanced,20,machine-learning,https://cloud.google.com/architecture/mlops-continuous-delivery-and-automation-pipelines-in-machine-learning
Model Deployment with FastAPI and Docker,Package and serve trained ML models using FastAPI and Docker containers.,Udemy,model-deployment;mlops;docker,advanced,18,mlops;python,https://www.udemy.com/courses/search/?q=Model+Deployment+with+FastAPI+and+Docker
HTML and CSS Fundamentals,Build your first web pages with semantic HTML and styled CSS layouts.,freeCodeCamp,html;css;web-development,beginner,10,,https://www.freecodecamp.org/learn
Responsive Web Design,"Create mobile-friendly layouts using CSS Flexbox, Grid and media queries.",freeCodeCamp,css;responsive-design;html,beginner,12,html;css,https://www.freecodecamp.org/learn
JavaScript Basics,"Learn JavaScript syntax, variables, functions and DOM basics from scratch.",Coursera,javascript;programming;web-development,beginner,14,,https://www.coursera.org/search?query=JavaScript+Basics
JavaScript: The Modern Way,"Master ES6+ features like arrow functions, destructuring and async/await.",Udemy,javascript;es6;web-development,intermediate,16,javascript,https://www.udemy.com/courses/search/?q=JavaScript%3A+The+Modern+Way
DOM Manipulation and Browser APIs,Interact with web pages dynamically using the DOM and browser APIs.,Udemy,javascript;dom;web-development,intermediate,12,javascript;html,https://www.udemy.com/courses/search/?q=DOM+Manipulation+and+Browser+APIs
React.js Fundamentals,"Build interactive UIs with components, props and state in React.",Coursera,react;javascript;frontend,intermediate,20,javascript;html,https://www.coursera.org/search?query=React.js+Fundamentals
State Management with React Hooks,Manage component state and side effects using useState and useEffect.,Udemy,react;hooks;javascript,intermediate,14,react,https://www.udemy.com/courses/search/?q=State+Management+with+React+Hooks
Advanced React Patterns and Performance,"Optimize React apps with memoization, context and advanced patterns.",Udemy,react;performance;javascript,advanced,18,react;hooks,https://www.udemy.com/courses/search/?q=Advanced+React+Patterns+and+Performance
TypeScript for JavaScript Developers,Add static typing to JavaScript projects using TypeScript.,Udemy,typescript;javascript;programming,intermediate,14,javascript,https://www.udemy.com/courses/search/?q=TypeScript+for+JavaScript+Developers
Node.js Fundamentals,Build server-side applications with Node.js and the event loop.,Coursera,nodejs;javascript;backend,intermediate,18,javascript,https://www.coursera.org/search?query=Node.js+Fundamentals
Building REST APIs with Express.js,Design and build RESTful APIs using Node.js and Express.,Udemy,rest-api;nodejs;express,intermediate,16,nodejs,https://www.udemy.com/courses/search/?q=Building+REST+APIs+with+Express.js
SQL Databases for Web Developers,Learn SQL basics for storing and querying web application data.,Khan Academy,sql;databases;web-development,beginner,10,,https://www.khanacademy.org/computing/computer-programming/sql
Relational Database Design,Design normalized relational schemas and write efficient SQL queries.,MIT OCW,sql;database-design;databases,intermediate,18,sql,https://ocw.mit.edu/search/?q=Relational+Database+Design
NoSQL with MongoDB,Model and query document data using MongoDB for web applications.,MongoDB University,nosql;mongodb;databases,intermediate,14,databases,https://learn.mongodb.com/
Authentication and Authorization in Web Apps,"Implement secure login, JWTs and role-based access in web apps.",Udemy,web-security;authentication;nodejs,advanced,16,nodejs;rest-api,https://www.udemy.com/courses/search/?q=Authentication+and+Authorization+in+Web+Apps
